question,question_type,rewritten_query,num_ground_truths,dense_retrieved,graph_retrieved,ground_truth_ids,dense_ids,graph_ids,error,dense_hit_5,dense_recall_5,dense_precision_5,graph_hit_5,graph_recall_5,graph_precision_5,hit_delta_5,recall_delta_5,precision_delta_5,dense_hit_10,dense_recall_10,dense_precision_10,graph_hit_10,graph_recall_10,graph_precision_10,hit_delta_10,recall_delta_10,precision_delta_10,dense_hit_20,dense_recall_20,dense_precision_20,graph_hit_20,graph_recall_20,graph_precision_20,hit_delta_20,recall_delta_20,precision_delta_20,dense_hit_30,dense_recall_30,dense_precision_30,graph_hit_30,graph_recall_30,graph_precision_30,hit_delta_30,recall_delta_30,precision_delta_30,dense_hit_50,dense_recall_50,dense_precision_50,graph_hit_50,graph_recall_50,graph_precision_50,hit_delta_50,recall_delta_50,precision_delta_50
"I have to do a project about the battle of Bunker Hill during the American Revolution, can you help me find some information about that?",metadata,information about the Battle of Bunker Hill during the American Revolution,4,4,10,3f462x95q|wd376807m|nc587w492|8c97n816r,3f462v941|x633fb389|8336h244p|9s1619609,j0995q64g|mg74xx798|pg15jt85g|5d86wc461|j3866k42g|xd07q666p|th83t8571|pg15jt960|4b29jq788|br86jf98b,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
What caused the Great Fire of Boston in 1872?,metadata,causes of the Great Fire of Boston in 1872,4,0,20,xp68kr375|xp68kr35m|xp68kr53j|c821gq65v,,np199m32x|3n20b994g|8g84v031x|k643jd02m|h702xr18x|tq57w226s|sb39fw38k|mg74z211m|8c97tb909|2z1144631|p267f6571|sx61mp52d|fj23dg24q|pv63pf74c|fj23d704s|ht253p92f|js95dv38x|7w62nk028|3j339c410|wm11fx51p,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
What was the Boston Tea Party and why did it happen?,metadata,Boston Tea Party causes and events,4,0,50,d504v765w|zs2626294|f1884c31d|6d571125r,,028777911|086190502|057484544|00006f605|08619817p|05748182p|02877d78h|08619125x|0c48b749w|086194761|08619b42f|05748c564|00006n70n|057487615|02877c05s|0c48b619z|0g35bk19x|0c48b7038|05748b74v|0c489x568|02877c01p|057489919|w950c9390|086196712|08619c072|05748968h|00006d98w|0c48b3866|qb98tq28m|08619b237|0c48b2037|00006n505|hh6415458|05748978r|7366dd968|9g554v060|0c48b1252|4455gt18f|0c48b7993|6m318375z|pg15js573|31984x58w|0c48b570q|00006n28n|05748078w|05747v752|6d576837v|0c489x26j|h989zc522|sf26gh51q,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Who was Crispus Attucks and what was his role in American history?,metadata,Crispus Attucks role in American history,4,50,50,2801pm92n|vh53x3780|jq08ds22z|41688262q,mp491137p|q811sx37q|3f468m86x|s752dz22z|fb49bx96x|086192849|sf26gm77g|q524s827v|4b29k254x|4f16kg40r|37727173h|b564c474c|bg25fw608|d7921018q|0z70h8457|b277bb441|4b29jx688|tm70v769g|k356hj222|s752f091r|bn99hp10s|4b29k190k|gh93qb69g|0c48b0752|qn59xh93j|rx91b175p|90200f10f|wh24fh12t|sb39fp41n|5m60z646q|c247n520p|8910s9099|zg652080h|s178c830z|jm21c8540|xs55tr461|7p88m507m|n0103q54x|f4758z90g|9z909r742|0k22cz876|g732mz50n|cz30x678d|hh641g64b|vt157738w|31985663k|d7920n443|q524s160f|5t351902d|4t64q333r,0c48b749w|08619b42f|02877c05s|00006f605|0c48b619z|028777911|05748c564|0c48b7038|08619817p|0c48b7152|08619971p|057489919|05748b21t|05748978r|05748b74v|05748968h|08619b237|0c48b7993|086196712|00006n505|0c48b570q|086194761|0c48b8824|08619c072|02877c01p|00006n70n|0c48b2037|05748b54c|08619c004|0g35bk19x|02877d78h|05748c85k|00006d98w|057487615|0c48b3866|00006f185|05748d09z|02877g95k|057489898|00006m44t|086198863|02877f501|0c48b807k|057484544|00006b96x|00006f142|08619125x|0c48b303f|00006m69p|05748b177,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
What role did Frederick Douglass play in Massachusetts history?,metadata,Frederick Douglass role in Massachusetts history,4,50,50,dv143022b|7s75fx33m|dv142z173|5m60th82r,2r3729355|qj72wm001|tm70vc94n|cj82sx293|5d86wm634|v118zk51z|h128vx34m|ks65qs66z|bn99ht81k|6q189731v|v6931d14m|2f75zr29q|1g05nx686|9c683q59b|9w038p49g|3j339n593|xg94r430q|1j92ph813|ng457v819|s178bs54g|nz80dk16w|mg74z553r|3j339f447|7d27h309x|xk81s819d|cj82sh97r|sn00jk282|g732mx24t|3t94d952x|8g84v5352|8336qr64b|f4759463s|nk328w960|tm70vf810|2n501s47q|3f468j18c|1z40t420t|95942843x|k356hg12d|nk3292036|ks65qq18w|sf26gm86f|kp78q2765|rx91b175p|sq87jz199|3b597t88v|mc87wv73b|ww72jr16w|xp68sr57p|8k71vs592,028777911|08619b237|08619b42f|02877c05s|0g35bk19x|00006f605|05748c564|086194761|086190502|00006n28n|08619125x|08619c072|08619817p|05748b74v|02877c01p|057484544|0c48b619z|0c48b7993|0c48b570q|00006n505|0c48b7152|0c48b749w|0c48b7038|0c48b303f|02877d78h|05748b21t|057487615|057489919|02877f501|0c48b2037|05748968h|00006b96x|00006b470|02877g95k|086196712|00006k928|0c48b3866|0c48b8824|05748978r|05748d09z|08619c004|08618t79t|00006d98w|086193527|05748182p|00006m69p|05748b54c|02877942h|00006n70n|08619971p,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
What were the biggest insurance companies in Boston in the early 20th century?,metadata,biggest insurance companies in Boston early 20th century,4,50,50,9306wq12z|70797z85h|8k71nw59n|xp68kn172,k356hj11j|2227v1368|3r07c926g|jm21c3671|rn307f24v|f7629w585|8w32zm936|qj72wp79m|5x221z748|jw82fv40t|h702xz61f|bz60mg93w|9w038h175|bv73kj348|7940gb08z|2r372c730|qb98ts31b|qf85vt593|1n79qf424|p841h327d|w3769q198|jd479c38h|ng457x464|r7823w27n|hd770k85v|nc587375x|5712tn82k|vd673m00h|ww72jq322|3b597p07t|98813612c|ms361k575|m039sn42k|nv93cj70m|f18882121|2j630q66n|mw232t63m|1544k856s|m900w566v|0c48b303f|4m90nd02m|90200q86f|j9608f73c|n0103b45p|69705f780|rn307h66s|g732mm29b|k069gt47q|8p58wq12w|s178c3138,028777911|057484544|00006f605|086190502|0c48b749w|08619c072|02877c05s|08619b42f|08619817p|0c48b8824|0c48b7152|08619125x|0c48b7038|0c48b7993|0c48b619z|086194761|05748c564|02877c01p|05748b21t|057489898|bz60mj01k|08619b237|00006n28n|0c48b570q|057489919|02877d78h|086196712|0c489z72v|00006d98w|0c48b378h|00006q75f|05748968h|05748b54c|05748978r|05748182p|0g35bk19x|05748d09z|05748b177|0c48b303f|05748b74v|057487615|00006n505|08619c004|0c48b3866|00006m69p|086193527|08619c01d|02877f501|0c48b807k|05748944x,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Who was Samuel Adams and what did he do in Boston?,metadata,Samuel Adams activities in Boston,4,50,50,fj2373328|jm217635p|2v23zv79k|7p88gj11s,37726s681|6m318468r|j0995v15c|r2081w287|z029wk215|sj13hc521|9p296m147|2z114812c|fq97g055s|xp68sk16d|js95f199v|9c684306r|w950c3910|gq67s482s|9k425t549|wm11fz39m|f7629w585|5712t9974|c821pw77q|nk328s81r|5999vh656|qz211608m|dj533p160|f1887x805|00006b071|pz50q798k|bv73k340q|mk61zp49z|m613vg19g|q524rv26x|sb39fm221|w0898n54k|n0103q54x|jm21c1937|v98025451|1z40sx96r|gq67s299j|0c48b133r|dn404b635|5138rs50d|j3866x019|w950cf69j|6t059t42k|8910s736s|bv73kc27t|cc08qr67s|x059kw37n|7p88kv140|05748404x|db791t89m,028777911|08619b42f|0g35bk19x|02877c05s|08619b237|00006f605|086194761|08619817p|08619125x|00006n28n|0c48b749w|08619c072|05748b74v|0c48b7152|05748c564|057484544|0c48b7993|02877d78h|0c48b619z|0c48b2037|086190502|02877c01p|0c48b570q|00006m69p|00006b470|02877g95k|057489919|05748978r|057487615|0c48b303f|00006k928|086193527|0c48b3866|05748968h|02877942h|05748d09z|00006b96x|05748b21t|02877f501|086196712|00006m44t|00006n505|08619971p|08618t79t|00006n70n|00006f185|0c48b7038|0c48b8824|0c489z72v|05748182p,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Who was Paul Revere and what was his significance?,metadata,Paul Revere significance,4,50,50,wh246s53h|cr56qq138|fj2372144|gt54mc309,v9802d60k|93071b452|d7921063j|0z70hh97f|mg74z5274|37726t13n|dn404c41b|w3769m77j|gt54t501n|p267ff89r|nk328w77s|zk522v925|k643jc52m|5m60xw818|c821q0015|zs264s80z|n0103q709|8336qh08j|rx91bc48v|wp98h615r|qn59xk06m|jq08d139k|cn69tr937|vt156x60c|dv1465103|v6931k26f|r78243140|0g35bt62n|5d86wc98s|g158k6035|ns06bx702|vq286900h|nz80dg877|x059kq11g|8s45xq37m|mg74z413k|3n20bj646|319859016|k069gt188|00006p935|66834r96x|h415wq878|nv93cd34x|t148nz00g|k643jb79t|00006b819|rb694n52p|d217zd46j|v6931v30p|3r07cd637,08619b42f|02877c05s|08619b237|0g35bk19x|028777911|08619817p|0c48b7152|00006f605|08619c072|0c48b619z|0c48b749w|0c48b7993|05748b74v|02877d78h|0c48b570q|0c48b8824|02877c01p|05748c564|00006n28n|086194761|00006k928|05748978r|05748b21t|0c48b303f|00006n505|08619c004|086196712|08619125x|0c48b2037|05748c85k|05748d09z|0c48b121z|057489919|0c48b7038|0c489z72v|00006b96x|08619971p|02877f501|08619b93x|02877g95k|0c48b3866|086193527|05748944x|057487615|00006f185|00006q75f|00006m69p|00006p14h|08619c58j|086199427,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
What happened at the Boston Massacre?,metadata,events of the Boston Massacre,4,0,50,jq08ds22z|vh53x374w|vh53x3780|dv142f145,,028777911|0c48b749w|08619b42f|0c48b8824|08619c072|00006f605|02877c05s|0c48b619z|0c48b7038|0c48b7152|08619817p|08619b237|05748c564|05748b21t|0c48b7993|057484544|02877d78h|086194761|00006q75f|0c48b570q|086190502|05748b54c|057489919|00006n28n|bz60mj01k|0c48bb02m|02877c01p|0c489z72v|05748968h|05748b74v|00006m69p|00006n505|08619c004|057489898|05748d09z|05748978r|0c48b303f|08619125x|0c48b378h|00006n70n|00006n07w|086196712|0g35bk19x|05748c85k|05748b177|057487615|0c48b807k|02877f501|00006d98w|00006b470,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
Who were the Sons of Liberty?,metadata,Who were the Sons of Liberty,4,50,10,fj2372543|vd66w6545|9880w844w|zs2626294,q811sx487|jq08cx491|ft84h363z|jh34b6126|90200g84f|5712tj659|6m318515x|xw42vn00n|bc38dv47n|0c48b0752|8049pm33n|h128vt447|8049pm45f|f7629s268|5x221w28r|4742hn78q|v6931v30p|0g35bw02m|9g554x207|db791s56v|6m317w84h|ww72jq322|d7920w862|pv63pd11w|7p88kv57s|9g554x339|qb98tr489|0k22cn98v|h702xq23k|br86jg650|kd17m742j|bk12gs15p|n8716455h|rr1789309|mc87x6002|ww72jm70v|rx91b2102|ng457x47d|dj533v63d|fb49bf448|pn89ms793|f4758z53b|nk328s36x|61092s891|t148nv34p|61092s25g|j3866b995|7p88kw38s|0v83gd609|x346m894d,vh544g910|ng457p419|nc5875628|p267f364t|j0995q64g|g158jx23t|7s75mq97s|cr56vf962|7w62nn06s|z8910f42s,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
