id,question,answer,source_ids,num_sources,latency_ms
1,What were some important historical events that happened in Boston in 1919?,"A collection of newspaper articles from 'The Boston Traveler' captures various significant events in Boston in 1919, including the impactful Great Molasses Flood that occurred later that year, as well as other cultural and societal occurrences in early 20th century Boston.","[""commonwealth:zk522w08v"", ""commonwealth:g732mp48z"", ""commonwealth:x633ng228"", ""commonwealth:0g35bt824"", ""commonwealth:j3866k840"", ""commonwealth:v118zt61n"", ""commonwealth:rx91b219j"", ""commonwealth:gb19nm79p"", ""commonwealth:vh5448344"", ""commonwealth:0g35bt84p""]",10,4637
2,What was the Great Fire of Boston in 1872?,"The Great Fire of Boston occurred on November 9-10, 1872, leading to extensive destruction. Various titles of images capture views of the ruins from different streets such as Devonshire St., Milk St., and Federal St., highlighting the significant impact of the fire on Boston's landscape. Items in the collections include stereographs and still images documenting the devastation and the response, such as fire engines. Notable references include the burnt district of Boston, with specific locations like Bachelder's Wharf and the Bucking and Vroom Company area. The images date from around 1872 to 1920, serving as historical records of this urban disaster.","[""commonwealth:cj82m653z"", ""commonwealth:zk51wc00j"", ""commonwealth:zk51wb281"", ""commonwealth:zk51wc03c"", ""commonwealth:2801pj69f"", ""commonwealth:1831cx62h"", ""commonwealth:cf95jj92p"", ""commonwealth:1831cx58x"", ""commonwealth:cf95jj80w"", ""commonwealth:cf95jj86j""]",10,4970
3,What happened during the Boston Molasses Flood of 1919?,"The Boston Evening Transcript features multiple reels of newspapers from 1919, published by the Boston Public Library, which likely contain reports and details about the Boston Molasses Flood that occurred on January 15, 1919.","[""commonwealth:zc77zd28d"", ""commonwealth:n5843g52j"", ""commonwealth:x633kp72c"", ""commonwealth:mg74w644n"", ""commonwealth:w6638r539"", ""commonwealth:7m01h924n"", ""commonwealth:x346jr78k"", ""commonwealth:ms35zt531"", ""commonwealth:zs262v65x"", ""commonwealth:8k71t442s""]",10,2331
4,Show me photographs from the 1919 Boston Police Strike.,"- Remarkable riot picture taken on Boston Common during one of the most severe crisis known to Boston in history. (1919): Image capturing roughnecks and hoodlums trying to run the city during the police strike.
- Police strike of 1919, state militia trucked in at Union Station (1919): Image showing state militia responding to the police strike, highlighting the involvement of law enforcement and military forces.
- Truck with militiamen at Union Station, police strike (1919): Image of militiamen in a truck at Union Station during the police strike.
- Militiaman guards Soldiers & Sailors monument, during police strike (1919): Image depicting a militiaman guarding the Soldiers & Sailors monument amidst the police strike.
- Flag raising ceremony on Boston Common, First Motor Corps, Mass. Nat. Guard. Poss. Police strike of 1919 (1919?): Image capturing a flag raising ceremony related to the First Motor Corps of the Massachusetts National Guard, possibly connected to the police strike.","[""commonwealth:b8515n66f"", ""commonwealth:5h73vx18p"", ""commonwealth:5h73vx02s"", ""commonwealth:5h73vx04b"", ""commonwealth:5h73vx007"", ""commonwealth:xp68kq81h"", ""commonwealth:70798b140"", ""commonwealth:m039p8343"", ""commonwealth:rf562b682"", ""commonwealth:ft84ct23n""]",10,5931
5,Find postcards of Cape Cod from the early 1900s.,"- Cape Cod surf ([1935–1943]): Still image from the Massachusetts WPA Federal Art Project Photograph Collection.
- Cape Cod [Front cover] (1896): Leaf green cloth with gold stamped lettering and leaf design, part of the Fine and Historic Bookbindings Collection.
- Cape Cod [Spine and front cover] (1896): Similar design to the front cover, part of the Fine and Historic Bookbindings Collection.
- Cape Ann Breeze (October 14, 1901): Newspaper item related to Gloucester, Massachusetts, from the Boston Public Library.
- Cape Ann Breeze (April 27, 1901): Another newspaper item relevant to Gloucester, Massachusetts.
- Cape Ann Breeze (January 25, 1901): Newspaper item focused on Gloucester, Massachusetts.
- Cape Ann Breeze (June 27, 1901): Newspaper item from Gloucester, Massachusetts.
- Cape Ann Breeze (January 10, 1901): Newspaper item related to Gloucester, Massachusetts.
- Cape Ann Breeze (June 7, 1901): Another newspaper item from Gloucester, related to the region.
- Cape Ann Breeze (January 4, 1901): Newspaper item focused on Gloucester, Massachusetts.","[""commonwealth:8k71r7376"", ""commonwealth:cv43pb05t"", ""commonwealth:cv43pb07c"", ""commonwealth:2j62zv68q"", ""commonwealth:4742h049b"", ""commonwealth:rn306r904"", ""commonwealth:g732m120b"", ""commonwealth:j0995212s"", ""commonwealth:r4952906h"", ""commonwealth:db7913898""]",10,6673
6,Are there photographs of John F. Kennedy’s house on Cape Cod?,"The context features several historical house images located in Massachusetts, specifically in Cape Cod and Martha's Vineyard, which includes notable architectural styles and historic buildings. The descriptions detail houses from as early as 1713, emphasizing their historical significance and connection to the region.","[""commonwealth:fj236c72q"", ""commonwealth:fj236w50s"", ""commonwealth:fj236c705"", ""commonwealth:fj236w48r"", ""commonwealth:zs260z371"", ""commonwealth:dn400m588"", ""commonwealth:rv045g48z"", ""commonwealth:hh63wg34s"", ""commonwealth:jm217c00m"", ""commonwealth:cn69mp101""]",10,4141
7,Show me depictions of women working in Boston during the early 1900s.,"- Unidentified woman ([ca. 1897–1900]): Woman in dress with lace collar. Part of 'Black Bostonians' series, possibly highlighting women's roles in the community.
- Public card catalogue rm. Centr. ([1900–1920]): Image of the public library's reading room, illustrating women's access to education and public resources.
- Third floor reading room, McKim building ([ca. 1900–December 3, 1927]): Showing the reading room of the Boston Public Library, might suggest the influence of women in educational spheres.
- Boston, Massachusetts. Public library. ([1902]): Image of the Boston Public Library, an important institution likely frequented by women for education and community engagement.
- Boston, Massachusetts. Public library. Decorations for 50th anniversary (1904): Celebratory decorations at the public library, indicating community involvement which could include women.","[""commonwealth:kk91ft43t"", ""commonwealth:3n207007r"", ""commonwealth:ht24xd088"", ""commonwealth:ht24xd002"", ""commonwealth:p2677j547"", ""commonwealth:c821h1690"", ""commonwealth:pz50hb17z"", ""commonwealth:p2677h83g"", ""commonwealth:c821gx73s"", ""commonwealth:xp68km868""]",10,6024
8,Find materials related to abolitionist movements in Massachusetts.,"- Untitled (June 7, 1839): 
- Untitled (January 26, 1843): 
- Untitled (June 1839): 
- Untitled (January 27, 1841): 
- Untitled (February 18, 1841): 
- Untitled (December 30, 1835): 
- Untitled (November 2, 1837): 
- Untitled (June 1, 1855): 
- Untitled (January 31, 1839): 
- Untitled (March 19, 1848): ","[""commonwealth:6w926d16m"", ""commonwealth:m900pg69h"", ""commonwealth:m900pf14q"", ""commonwealth:5h740066k"", ""commonwealth:6w924r526"", ""commonwealth:5h7406010"", ""commonwealth:6w924r284"", ""commonwealth:qz20tt07w"", ""commonwealth:vm417d787"", ""commonwealth:7s75fz51r""]",10,9750
9,"Are there any maps of Worcester, Massachusetts from the 18th century?","Sorry, I couldn’t find direct answers, but here are related documents.","[""commonwealth:jw82b830j"", ""commonwealth:9s1619634"", ""commonwealth:9c6836287"", ""commonwealth:wd37cg322"", ""commonwealth:f4758332d"", ""commonwealth:fq97fg504"", ""commonwealth:k356gq724"", ""commonwealth:0k22bx33h"", ""commonwealth:rb693z72v"", ""commonwealth:6t059217p""]",10,3155
10,"Find old photographs of Beacon Hill, Boston.","- 31 River Street, 63 1/2 to 65 Chestnut Street, Back Bay, Boston, Mass. (July 25, 1930): Historic buildings on 65 Chestnut Street, Beacon Hill, Boston.
- Beacon Hill, from Mt. Vernon St., near the head of Hancock St. (1858): Lithograph from an original watercolor drawing by John Ruebens Smith, depicting Beacon Hill.
- Beacon Hill, with Mr. Thurston's house. From Bowdoin St. (1858): Lithograph depicting Mr. Thurston's house on Beacon Hill.
- Beacon Hill, from Mount Vernon Street (1857): Copy photograph of a lithograph that shows Beacon Hill.
- Beacon Hill, with Mr. Thurston's house, from Bowdoin Street (ca. 1898): Copy photograph of a lithograph showing Mr. Thurston's house.","[""commonwealth:fj236z107"", ""commonwealth:fj236g06r"", ""commonwealth:fj236z086"", ""commonwealth:6h4411202"", ""commonwealth:6h4411245"", ""commonwealth:1j92jq11z"", ""commonwealth:z890vc12t"", ""commonwealth:6h441122m"", ""commonwealth:rx916571q"", ""commonwealth:0g354v59h""]",10,5589
